Sample,genome,Read Count,Mean,covered_fraction,Length
3000m1000m,A3500m1000m.112,470137,43.726162,0.9992208,1513108
3000m1000m,A4500m4000m.326,25603,0.6354227,0.31373644,5040683
3000m1000m,A3000m3000m.40,6855,0.12692618,0.039277844,3445352
3000m1000m,A3000m500m.248,67033,8.332469,0.93993247,1106588
3000m1000m,A3000m500m.158,27407,0.6467818,0.3354961,5660051
3000m1000m,A4500m500m.126,2709,0.27486467,0.08194914,1190885
3000m1000m,A3000m150m.250,59801,2.9435742,0.3265372,2710117
3000m1000m,R4000m150m.21,5933,0.50409925,0.14858481,1208246
3000m1000m,R4500m4000m.209,57933,2.3797479,0.7324651,3344076
3000m1000m,R4000m3000m.189,206424,8.076648,0.94380593,3590894
3000m1000m,A4500m4000m.243,1544,0.066123605,0.029490048,2661508
3000m1000m,A4000m50m.36,1068,0.056106485,0.036273357,1856018
3000m1000m,R3500m3000m.162,504236,12.375476,0.94409794,5728306
3000m1000m,A4500m150m.156,8090,0.49451664,0.18869917,1664480
3000m1000m,R500m50m.275,2535,0.18979536,0.08830828,1077498
3000m1000m,A4500m4000m.30,10150,0.77549565,0.35174853,1732519
3000m1000m,A4500m4000m.112,124030,4.501399,0.34364176,3483590
3000m1000m,A500m50m.173,1764,0.035533614,0.0166539,3430428
3000m1000m,A3000m50m.11,2884,0.060124066,0.0058648624,2110706
3000m1000m,A500m50m.96,7736,0.078966625,0.019989682,5958224
3000m1000m,A3500m150m.58,487,0.020207128,0.0056514665,1379465
3000m1000m,R4500m150m.240,12684,0.7103216,0.33733392,2448639
3000m1000m,A4000m2000m.83,187103,10.645268,0.97008425,2460945
3000m1000m,A3500m1000m.189,166392,14.141012,0.97679645,1584499
3000m1000m,A4000m150m.78,4095,0.22878602,0.0629454,1334601
3000m1000m,A3000m150m.135,26357,1.2283305,0.29197088,2701444
3000m1000m,A3000m500m.270,87902,5.3964677,0.9585305,2301860
3000m1000m,A3500m50m.157,3010,0.08313602,0.0379947,2308506
3000m1000m,A4500m150m.287,13511,1.7016292,0.22794573,990670
3000m1000m,R3000m50m.275,411,0.0095356265,0.0017818456,2079866
3000m1000m,A3500m1000m.86,228397,8.268243,0.9671776,3991851
3000m1000m,R4500m150m.132,5627,0.3202452,0.035780597,1955082
3000m1000m,A500m50m.182,277,0.019374482,0.010708993,1443553
3000m1000m,A4000m50m.76,870,0.050153233,0.0074671046,1049001
3000m1000m,A3500m150m.171,5094,0.07336008,0.015947588,3852871
3000m1000m,A4500m150m.316,8459,0.15696032,0.05640478,5331782
3000m1000m,A3000m3000m.181,32970,2.6504192,0.23766693,1519715
3000m1000m,A4500m2000m.87,42488,2.0587723000000002,0.5974667,2828566
3000m1000m,A4000m50m.191,716,0.049430195,0.023449272,1245753
