scaffold,reconciled_taxonomy
OC1703_4500m_150m_sens_contig_4960021,Actinomycetota
OC1703_3500m_150m_sens_contig_1936930,Actinomycetota
OC1703_500m_50m_sens_contig_2493861,Actinomycetota
OC1703_4500m_150m_sens_contig_4017498,Actinomycetota
OC1703_4500m_50m_sens_contig_376020,Actinomycetota
OC1703_4000m_50m_sens_contig_390554,Actinomycetota
OC1703_3500m_50m_sens_contig_1745339,Actinomycetota
OC1703_3000m_50m_sens_contig_3402636,Actinomycetota
OC1703_4000m_2000m_sens_contig_3659003,Actinomycetota
OC1703_3500m_2000m_sens_contig_1389897,Actinomycetota
OC1703_4500m_2000m_sens_contig_253718,Actinomycetota
OC1703_3000m_2000m_sens_contig_3432857,Actinomycetota
OC1703_3000m_500m_sens_contig_1255507,Actinomycetota
OC1703_3500m_500m_sens_contig_3317118,Actinomycetota
OC1703_4500m_1000m_sens_contig_1777892,Actinomycetota
OC1703_3000m_1000m_sens_contig_1534369,Actinomycetota
OC1703_3500m_1000m_sens_contig_2024782,Actinomycetota
OC1703_4000m_1000m_sens_contig_354566,Actinomycetota
OC1703_4500m_150m_sens_contig_4649665,Actinomycetota
OC1703_3000m_150m_sens_contig_2544920,Actinomycetota
OC1703_3500m_150m_sens_contig_2760245,Actinomycetota
OC1703_4000m_150m_sens_contig_200093,Actinomycetota
OC1703_500m_150m_sens_contig_912240,Actinomycetota
OC1703_500m_150m_sens_contig_1635656,Actinomycetota
OC1703_3000m_150m_sens_contig_456458,Actinomycetota
OC1703_3500m_150m_sens_contig_2524710,Actinomycetota
OC1703_4500m_500m_sens_contig_4385008,Actinomycetota
OC1703_4000m_500m_sens_contig_1181779,Actinomycetota
OC1703_3000m_500m_sens_contig_5334764,Actinomycetota
OC1703_3500m_500m_sens_contig_305722,Actinomycetota
OC1703_4000m_3000m_sens_contig_3090998,Actinomycetota
OC1703_3000m_3000m_sens_contig_430907,Actinomycetota
OC1703_4500m_3000m_sens_contig_4599683,Actinomycetota
OC1703_3500m_3000m_sens_contig_1096371,Actinomycetota
OC1703_4000m_50m_sens_contig_675095,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_50m_sens_contig_5621673,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_50m_sens_contig_4967875,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_3781874,unclassified
OC1703_4500m_3000m_sens_contig_4762732,unclassifed
OC1703_4500m_2000m_sens_contig_1151537,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_825657,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_1270989,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3344179,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_992368,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_2349035,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_2327013,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_4680951,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_1653540,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1314996,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_2401737,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_12370,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_1168885,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_3209957,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1189997,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_2200913,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3039264,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3258459,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_5166526,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_2101212,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1295516,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_1283459,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_3623056,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_2718583,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_3686352,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_4586827,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_5019440,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_1333210,Pseudomonadota;Gammaproteobacteria
OC1703_500m_150m_sens_contig_3546723,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_3880705,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_972766,Pseudomonadota;Gammaproteobacteria
OC1703_500m_50m_sens_contig_3797270,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_50m_sens_contig_5235498,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_150m_sens_contig_398009,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_150m_sens_contig_242710,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_150m_sens_contig_1351649,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_2384045,Pseudomonadota;Gammaproteobacteria
OC1703_500m_150m_sens_contig_648184,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_4115330,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_705458,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_4091998,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_1051941,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_2448972,Pseudomonadota;Gammaproteobacteria
OC1703_500m_150m_sens_contig_905209,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_500m_sens_contig_3327295,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_1935762,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1804124,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1880512,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_2422856,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_4133203,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_150m_sens_contig_1720636,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_247516,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_150m_sens_contig_10954,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_50m_sens_contig_3429200,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_50m_sens_contig_4081868,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_50m_sens_contig_3900512,Actinomycetota
OC1703_3000m_50m_sens_contig_5616612,Actinomycetota
OC1703_500m_50m_sens_contig_599489,Actinomycetota
OC1703_3000m_3000m_sens_contig_2314766,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_1133737,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1169860,Candidatus Thermoplasmatota
OC1703_4500m_50m_sens_contig_5821374,Candidatus Thermoplasmatota
OC1703_3000m_150m_sens_contig_1263591,Planctomycetota
OC1703_4500m_4000m_sens_contig_4423524,Planctomycetota
OC1703_3000m_3000m_sens_contig_1783933,Planctomycetota
OC1703_4500m_4000m_sens_contig_3908508,unclassified
OC1703_4000m_150m_sens_contig_1826294,unclassified
OC1703_4000m_50m_sens_contig_2368782,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1631206,Candidatus Thermoplasmatota
OC1703_3000m_50m_sens_contig_2124881,Candidatus Thermoplasmatota
OC1703_4000m_50m_sens_contig_2049961,Candidatus Thermoplasmatota
OC1703_500m_50m_sens_contig_2345065,Candidatus Thermoplasmatota
OC1703_3500m_50m_sens_contig_1421117,Candidatus Thermoplasmatota
